param n := 90;
param p := 
1	92
2	92
3	104
4	81
5	108
6	98
7	99
8	88
9	113
10	83
11	93
12	88
13	101
14	118
15	85
16	88
17	89
18	109
19	113
20	104
21	90
22	94
23	99
24	102
25	112
26	91
27	93
28	102
29	113
30	103
31	89
32	95
33	110
34	105
35	110
36	87
37	113
38	101
39	118
40	118
41	90
42	113
43	82
44	104
45	91
46	89
47	108
48	84
49	88
50	107
51	84
52	99
53	114
54	112
55	104
56	91
57	83
58	107
59	85
60	116
61	101
62	106
63	104
64	91
65	101
66	98
67	86
68	112
69	102
70	115
71	83
72	99
73	118
74	83
75	108
76	93
77	91
78	113
79	84
80	96
81	87
82	96
83	111
84	86
85	85
86	104
87	103
88	94
89	96
90	99;

param h := 
1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10
25	10
26	10
27	10
28	10
29	10
30	10
31	10
32	10
33	10
34	10
35	10
36	10
37	10
38	10
39	10
40	10
41	10
42	10
43	10
44	10
45	10
46	10
47	10
48	10
49	10
50	10
51	10
52	10
53	10
54	10
55	10
56	10
57	10
58	10
59	10
60	10
61	10
62	10
63	10
64	10
65	10
66	10
67	10
68	10
69	10
70	10
71	10
72	10
73	10
74	10
75	10
76	10
77	10
78	10
79	10
80	10
81	10
82	10
83	10
84	10
85	10
86	10
87	10
88	10
89	10
90	10;

param d := 
1	134
2	118
3	33
4	185
5	147
6	144
7	123
8	181
9	47
10	74
11	16
12	115
13	109
14	107
15	109
16	126
17	175
18	144
19	122
20	70
21	135
22	176
23	174
24	31
25	115
26	170
27	108
28	153
29	17
30	149
31	148
32	47
33	73
34	149
35	161
36	46
37	179
38	17
39	40
40	121
41	40
42	155
43	116
44	89
45	46
46	37
47	80
48	38
49	86
50	94
51	114
52	94
53	81
54	76
55	165
56	100
57	149
58	72
59	61
60	102
61	26
62	100
63	24
64	131
65	99
66	91
67	20
68	76
69	104
70	112
71	160
72	37
73	105
74	63
75	159
76	39
77	144
78	62
79	171
80	56
81	68
82	46
83	104
84	40
85	15
86	61
87	96
88	185
89	133
90	22;

param C := 180;
